Issuer,BinCount,Note
THE SINGHBHUM DISTRICT CENTRAL CO-OPERATIVE BANK,1,no picker match
"SIHOR MERCANTILE CO-OPERATIVE BANK, LTD.",1,no picker match
"THE PANCHMAHAL DISTRICT CO OPERATIVE BANK, LTD.",1,no picker match
DISTRICT CO OPERATIVE BANK LTD SAHARANPUR,1,no picker match
"BHATPARA NAIHATI CO OPERATIVE BANK, LTD.",1,no picker match
"THE BAIDYABATI SHEORAPHULI CO OPERATIVE BANK, LTD.",1,no picker match
SHUSHRUTI SOUHARDA SAHAKARA BANK NIYAMITA,1,no picker match
CHARTERED SAHAKARI BANK NIYAMITHA,1,no picker match
"JIVAN COMMERCIAL CO OPERATIVE BANK, LTD.",1,no picker match
"THE KALNA TOWN CREDIT COOPERATIVE BANK, LTD.",1,no picker match
"THE PANCHSHEEL MERCANTILE CO-OP BANK, LTD.",1,no picker match
"THE INDUSTRIAL CO-OPERATIVE BANK, LTD.",1,no picker match
"THE SANTRAGACHI CO OPERATIVE BANK, LTD.",1,no picker match
DEVELOPMENT CO OPERATIVE BANK LTD KANPUR,1,no picker match
"KHALILABAD NAGAR SAHKARI BANK, LTD.",1,no picker match
"UTTRAKHAND COOPERATIVE BANK, LTD.",1,no picker match
"MARATHA COOPERATIVE BANK, LTD.",1,no picker match
"LUCKNOW URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
"RAJDHANI NAGAR SAHKARI BANK, LTD.",1,no picker match
"VYAVSAYAK SAHKARI BANK, LTD.",1,no picker match
"SHREE BALAJI URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"HIMATNAGAR NAGARIK SAHAKARI BANK, LTD.",1,no picker match
"THE MANSA NAGARIK SAHAKARI BANK, LTD.",1,no picker match
THE ICHALKARANJI MERCHANTS COOP BANK,1,no picker match
"THE KARAN URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
"NAGINA URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"THE DHANBAD CENTRAL COOPERATIVE BANK, LTD.",1,no picker match
"THE NABADWIP CO-OPERATIVE CREDIT BANK, LTD.",1,no picker match
"PALUS SAHAKARI BANK, LTD.",1,no picker match
"APANI SAHAKARI BANK, LTD.",1,no picker match
"THE VAISH CO OPERATIVE ADARSH BANK, LTD.",1,no picker match
"THE VISAKHAPATNAM CO-OPERATIVE BANK, LTD.",1,no picker match
"NIDHI CO OPERATIVE BANK, LTD.",1,no picker match
"THE KHATTRI COOPERATIVE URBAN BANK, LTD.",1,no picker match
"THE DHANERA MERCANTILE CO OP BANK, LTD.",1,no picker match
BHARATI SAHAKARI BANK LTD. PUNE,1,no picker match
"RANILAXMIBAI URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
"DELHI NAGRIK SEHKARI BANK, LTD.",1,no picker match
"ADV.SHAMRAOJI SHINDE SATYASHODHAK BANK, LTD.",1,no picker match
"OMKAR NAGREEYA SAHKARI BANK, LTD.",1,no picker match
THE PATAN URBAN CO-OP BANK LTD PATAN,1,no picker match
"M.S.CO-OPERATIVE BANK, LTD.",1,no picker match
"NAGAR SAHKARI BANK, LTD.",1,no picker match
RENDAL SAHAKARI BANK LTD RENDAL,1,no picker match
"NOIDA COMMERCIAL CO-OPERATIVE BAK, LTD.",1,no picker match
"BHAVANI SAHAKARI BANK, LTD.",1,no picker match
"THE GANDHIDHAM CO OPERATIVE BANK, LTD.",1,no picker match
"THE KOYLANCHAL URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
SHREE VARDHAMAN SAHAKARI BANK LTD.,1,no picker match
"KONOKLOTA MAHILA URBAN COOP BANK, LTD.",1,no picker match
LAXMI MAHILA NAGRIK SAHAKARI BANK MARYADIT,1,no picker match
NAGAR SAHAKARI BANK LTD. GORAKHPUR,1,no picker match
VIKRAMADITYA NAGRIK SAHAKARI BANK,1,no picker match
"SULAIMANI COOP BANK, LTD.",1,no picker match
"THE COMMERCIAL CO-OPERATIVE BANK, LTD.",1,no picker match
"ETAH URBAN COOPERATIVE BANK, LTD.",1,no picker match
"RAMGARHIA CO-OPERATIVE BANK, LTD.",1,no picker match
"COMMERCIAL COOP BANK, LTD.",1,no picker match
"THE GADHINGLAJ URBAN CO-OP BANK, LTD.",1,no picker match
THE CITIZENS CO OPERATIVE BANK LTD JAMMU,1,no picker match
"OSMANABAD JANATA SAHAKARI BANK, LTD.",1,no picker match
"THE UNAVA NAGRIK SAHAKARI BANK, LTD.",1,no picker match
THE CHAMBA URBAN COOPERATIVE BANK LTD CHAMBA,1,no picker match
"SANGLI SAHAKARI BANK, LTD.",1,no picker match
"THE PRODDATUR COOPERATIVE TOWN BANK, LTD.",1,no picker match
"RAJKOT PEOPLES COOPERATIVE BANK, LTD.",1,no picker match
"DHAKURIA CO OPERATIVE BANK, LTD.",1,no picker match
"SAWAI MADHOPUR URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"WARDHA ZILLA PARISHAD EMP URBAN CO-OP BANK, LTD.",1,no picker match
THE SARVODAYA COOP BANK LTD MUMBAI,1,no picker match
"S S L S A KURUNDWAD URBAN BANK, LTD.",1,no picker match
"510 ARMY BASE W/S CREDIT COOP PRIMARY BANK, LTD.",1,no picker match
"THE GAUHATI CO-OPERATIVE URBAN BANK, LTD.",1,no picker match
"THE JAMNAGAR DISTRICT COOP BANK, LTD.",1,no picker match
"THE MANMANDIR CO-OP BANK, LTD.",1,no picker match
"THE JAMNAGAR PEOPLES COOPERATIVE BANK, LTD.",1,no picker match
"PROGRESSIVE URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
JAYSINGPUR UDGAON SAHAKARI BANK LTD JAYSINGPUR,1,no picker match
"AMARNATH COOP BANK, LTD.",1,no picker match
THE JALGAON DISTRICT CENTRAL COOP BANK LTD JALGAON,1,no picker match
"JAGRUTI CO-OPERATIVE URBAN BANK, LTD.",1,no picker match
"THE CHITNAVISPURA SAHAKARI BANK, LTD.",1,no picker match
NANDANI SAHAKARI BANK LTD NANDANI,1,no picker match
"SHREE PARSWANATH CO-OPERATIVE BANK, LTD.",1,no picker match
MAHOBA URBAN COOPERATIVE BANK LTD MAHOBA,1,no picker match
ETAWAH URBAN COOPERATIVE BANK LTD ETAWAH,1,no picker match
"THE SARVODAYA NAGRIK SAHKARI BANK, LTD.",1,no picker match
"THE KALOL NAGARIK SAHAKARI BANK, LTD.",1,no picker match
URBAN COOPERATIVE BANK LTD MAINPURI,1,no picker match
"THE JAMNAGAR MAHILA SAHAKARI BANK, LTD.",1,no picker match
THE URBAN COOPERATIVE BANK LTD SAHARANPUR,1,no picker match
"THE VARDHAMAN CO-OP BANK, LTD.",1,no picker match
"THE DAUND URBAN CO-OP BANK, LTD.",1,no picker match
NUTAN NAGARI SAHAKARI BANK LTD ICHALKARANJI,1,no picker match
"THE VIRAMGAM MERCANTILE CO OPERATIVE BANK, LTD.",1,no picker match
"THE BAVLA NAGRIK SAHAKARI BANK, LTD.",1,no picker match
"THE HAZARIBAG CENTRAL CO-OPERATIVE BANK, LTD.",1,no picker match
"AP JANATA COOPERATIVE URBAN BANK, LTD.",1,no picker match
"NATIONAL URBAN COOPERATIVE BANK, LTD.",1,no picker match
"THE RANCHI KHUNTI CENTRAL COOPERATIVE BANK, LTD.",1,no picker match
"LIC EMPLOYEES CO-OPERATIVE BANK LTD,UDUPI",1,no picker match
DEOGHAR JAMTARA CENTRAL COOPERATIVE BANK DEOGHAR,1,no picker match
D.Y.PATIL SAHAKARI BANK LTD. KOLHAPUR,1,no picker match
KUMBHI KASARI SAHKARI BANK LTD KUDITRE,1,no picker match
THE JALNA PEOPLES COOP BANK LTD JALNA,1,no picker match
SADHANA SAHAKARI BANK LTD PUNE,1,no picker match
AHILYADEVI URBAN COOPERATIVE BANK LIMITED SOLAPUR,1,no picker match
SHRIKRISHNA COOPERATIVE BANK LTD UMRER,1,no picker match
"SARASWATI SAHAKARI BANK, LTD.",1,no picker match
"THE HOOGHLY COOPERATIVE CREDIT BANK, LTD.",1,no picker match
"THE CHOPDA PEOPLES COOP BANK, LTD.",1,no picker match
"NALBARI URBAN CO OPERATIVE BANK, LTD.",1,no picker match
JUGALKISHOR TAPDIYA SHREE MAHESH UCB AURANGABADLTD,1,no picker match
SIDDHESHWAR URBAN COOPERATIVE BANK MARYADIT SILLOD,1,no picker match
