Issuer,BinCount,Note
"THE SIND COOPERATIVE URBAN BANK, LTD.",1,no picker match
"THE BHUJ MERCENTILE COOP BANK, LTD.",1,no picker match
"THE PRAGATI COOPERATIVE BANK LTD.,THARA",1,no picker match
"DUMKA CENTRAL COOPERATIVE BANK, LTD.",1,no picker match
"LALBAUG CO-OPERATIVE BANK, LTD.",1,no picker match
"SRI BANASHANKARI MAHILA COOPERATIVE BANK, LTD.",1,no picker match
"OSMANABAD DISTRICT CENTRAL CO-OPERATIVE BANK, LTD.",1,no picker match
THE SARDARGUNJ MERCANTILE COOP BANK LTD PATAN,1,no picker match
"THE SATANA MERCHANTS COOPERATIVE BANK LTD., SATANA",1,no picker match
"MARKETYARD COMMERCIAL CO-OPBANK, LTD.",1,no picker match
"THE MOIRANG PRIMARY CO-OPERATIVE BANK, LTD.",1,no picker match
"MALVIYA URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"VALMIKI URBAN CO-OP BANK LTD.,PATHRI",1,no picker match
"DEFENCE ACCOUNTS CO OP BANK, LTD.",1,no picker match
"THE ADINATH COOP BANK, LTD.",1,no picker match
"STATE TRANSPORT CO-OP BANK, LTD.",1,no picker match
"THE BAPUNAGAR MAHILA COOP BANK, LTD.",1,no picker match
"THE MALLESHWARAM CO-OP BANK, LTD.",1,no picker match
"SAMATA CO-OPERATIVE DEVELOPMENT BANK, LTD.",1,no picker match
VYAPARI SAHAKARI BANK MARYADIT SOLAPUR,1,no picker match
"JAIHIND URBAN CO-OP BANK LTD,WAKAD",1,no picker match
SHREE MAHALAXMI MERCANTILE COOP BANK LTD DABHOI,1,no picker match
BHIND NAGRIK SAHAKARI BANK MYDT,1,no picker match
"SHREE BHARAT COOP BANK, LTD.",1,no picker match
"KRISHNA MERCANTILE CO-OP BANK, LTD.",1,no picker match
LAXMI URBANCOOP BANK LTD LATUR,1,no picker match
"THE CO OPERATIVE CITY BANK, LTD.",1,no picker match
"THE BARODA TRADERS CO OP BANK, LTD.",1,no picker match
"THE SARANGPUR CO-OPERATIVE BANK, LTD.",1,no picker match
"THE BHADRAN PEOPLE'S CO-OPERATIVE BANK, LTD.",1,no picker match
"THE KARJAN NAGRIK SAHAKARI BANK, LTD.",1,no picker match
"PROGRESSIVE CO-OPERATIVE BANK, LTD.",1,no picker match
HARIHARESHWAR SAHAKARI BANK LTD WAI,1,no picker match
"KHARDAH COOPERATIVE BANK, LTD.",1,no picker match
"THE SEVALIA URBAN CO-OP BANK, LTD.",1,no picker match
THE JANATA CO OP BANK LTD GODHRA,1,no picker match
VAISHYA NAGARI SAHAKARI BANK LTD PARBHANI,1,no picker match
MAHESH URBAN CO-OPERATIVE BANK LTD PARBHANI,1,no picker match
SAIBABA NAGARI SAHAKARI BANK MARYADIT,1,no picker match
"THE BOTAD PEOPLES CO OPERATIVE BANK, LTD.",1,no picker match
"VIMA KAMGAR CO OPERATIVE BANK, LTD.",1,no picker match
"THE SHIMLA URBAN COOP BANK, LTD.",1,no picker match
UNITED INDIA CO OPERATIVE BANK LTD NAGINA,1,no picker match
